path,count,percent_total
src/cadrumo/adapters/persistence/profile/tests/test_evidence_draft_rate_slot.py,30,0.26
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_document_identity.py,29,0.25
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_recargo.py,29,0.25
src/cadrumo/application/overview/tests/test_calendar.py,29,0.25
src/cadrumo/domain/bienes_inversion/tests/test_record.py,29,0.25
src/cadrumo/domain/iva/tests/test_classification_carries_place_of_supply.py,29,0.25
src/cadrumo/entrypoints/cli/tests/test_prorrata_register_cli.py,29,0.25
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_grounds_for_renta.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_manual_add_idempotency.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_modelo_work_review.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_operator.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_verify_report_idempotent_collapse.py,28,0.24
src/cadrumo/application/aggregation/tests/test_m303_arrivals.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_filing.py,27,0.23
src/cadrumo/application/ledger/tests/test_supply_nature_operator_assertion.py,27,0.23
src/cadrumo/domain/invoices/tests/test_decomposition.py,27,0.23
dev/registry/tests/test_m390_2024_annual_manual_worked_example.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_evidence_foreign_currency_and_language.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_import_flow_mutation_guards.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_especial_mandatory_live_emit.py,26,0.23
src/cadrumo/application/aggregation/tests/test_oss_ioss.py,26,0.23
src/cadrumo/application/ledger/tests/test_counterparty_establishment.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_actions_create_usage_ratio.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_seed_boundaries.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_m111_retenciones_observation_live.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_profile_binding_integration.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_revision_parent_lifecycle_admission.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_verify_ledger_drift_gate.py,25,0.22
src/cadrumo/application/filing/tests/test_producer_snapshot.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/_modelo_export_ports_support.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_cross_period_clean_state_enforcement.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_merge_refusals.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_source_mesh_calculation.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_split.py,24,0.21
src/cadrumo/application/aggregation/tests/test_income_sales_invoice_evidence.py,24,0.21
src/cadrumo/domain/calculations/registry/tests/test_modelo_390_rate_box_reachability.py,24,0.21
src/cadrumo/domain/iva/tests/test_prorrata.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_actions_review.py,23,0.2
src/cadrumo/adapters/persistence/profile/tests/test_modelo_202_sociedades_fold_in_live.py,23,0.2
src/cadrumo/adapters/persistence/profile/tests/test_modelo_720_redeclaration_e2e.py,23,0.2
src/cadrumo/application/aggregation/tests/test_modelo_source_mesh_ledger.py,23,0.2
src/cadrumo/application/aggregation/tests/test_renta_ledger.py,23,0.2
src/cadrumo/application/aggregation/tests/test_unrouted_iva_quantity_screen.py,23,0.2
src/cadrumo/domain/categories/proportionality.py,23,0.2
src/cadrumo/domain/iva/tests/test_rates.py,23,0.2
src/cadrumo/domain/iva/tests/test_territory_carve_outs.py,23,0.2
src/cadrumo/entrypoints/cli/tests/test_invoice_retencion_aggregate_cli.py,23,0.2
src/cadrumo_harness/mcp/command_surface.py,23,0.2
dev/registry/tests/test_modelo_390_aic_isp_routing_split.py,22,0.19
dev/registry/tests/test_modelo_390_base_imponible_bindings.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_actions_lifecycle_restore.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_actions_review_query.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_actions_update_validation.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_preflight_home_office.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_pull_path_calculate_path_casilla_parity.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_renta_ledger_prorrata_repository.py,22,0.19
src/cadrumo/adapters/persistence/storage/custody/tests/test_capsule_lifecycle.py,22,0.19
src/cadrumo/adapters/persistence/storage/master_key/tests/test_login_handover.py,22,0.19
src/cadrumo/application/aggregation/tests/test_renta_ledger_aggregation.py,22,0.19
src/cadrumo/application/prorrata_register/tests/test_service.py,22,0.19
src/cadrumo/adapters/persistence/profile/tests/test_actions_lifecycle_guards.py,21,0.18
src/cadrumo/adapters/persistence/profile/tests/test_certificate_sources_check.py,21,0.18
src/cadrumo/adapters/persistence/profile/tests/test_iva_ledger.py,21,0.18
src/cadrumo/adapters/persistence/profile/tests/test_modelo_303_official_box_under_declaration.py,21,0.18
src/cadrumo/adapters/persistence/profile/tests/test_modelo_303_refund_auto_carry_e2e.py,21,0.18
src/cadrumo/adapters/persistence/profile/tests/test_modelo_303_refund_election_e2e.py,21,0.18
src/cadrumo/application/aggregation/tests/test_iva_cash_accounting.py,21,0.18
src/cadrumo/domain/iva/tests/test_country_vocabulary_boundary.py,21,0.18
src/cadrumo/adapters/persistence/profile/tests/test_file_flow_filing_idempotent.py,20,0.17
src/cadrumo/adapters/persistence/storage/tests/test_config_reset.py,20,0.17
src/cadrumo/application/aggregation/tests/test_export_demands_third_country_establishment.py,20,0.17
src/cadrumo/application/ledger/llm_classification.py,20,0.17
src/cadrumo/application/ledger/tests/test_counterparty_identification_fact.py,20,0.17
src/cadrumo/domain/bienes_inversion/tests/test_transmision.py,20,0.17
src/cadrumo/domain/iva/tests/test_establishment.py,20,0.17
src/cadrumo/entrypoints/cli/tests/test_ledger_counterparty_cli.py,20,0.17
src/cadrumo/adapters/persistence/profile/tests/test_import_flow.py,19,0.16
src/cadrumo/adapters/persistence/profile/tests/test_modelo_131_data_base_binding_projection.py,19,0.16
src/cadrumo/adapters/persistence/profile/tests/test_previous_filing_casilla_override.py,19,0.16
src/cadrumo/adapters/persistence/profile/tests/test_retencion_observations_repository_roundtrip.py,19,0.16
src/cadrumo/application/modelo/tests/test_profile_binding.py,19,0.16
src/cadrumo/application/wizard/tests/test_descendant_group.py,19,0.16
src/cadrumo/application/wizard/tests/test_taxpayer_axes_roundtrip.py,19,0.16
src/cadrumo/domain/calculations/registry/tests/test_modelo_303_registry_bindings.py,19,0.16
src/cadrumo/domain/calculations/registry/tests/test_modelo_390_rate_box_layer.py,19,0.16
src/cadrumo/domain/iva/tests/test_spanish_territory.py,19,0.16
src/cadrumo/entrypoints/cli/tests/test_modelo_210_agrupacion_renta_e2e.py,19,0.16
src/cadrumo/adapters/persistence/profile/tests/test_actions_update_fields.py,18,0.16
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_especial_art106_oracle.py,18,0.16
src/cadrumo/adapters/persistence/profile/tests/test_renta_gasto_aggregation.py,18,0.16
src/cadrumo/adapters/persistence/profile/tests/test_selectors.py,18,0.16
src/cadrumo/adapters/persistence/profile/tests/test_split_refusals.py,18,0.16
src/cadrumo/adapters/persistence/profile/tests/test_structured_path_country_codes.py,18,0.16
src/cadrumo/adapters/persistence/profile/tests/test_workflow_resume.py,18,0.16
src/cadrumo/application/aggregation/tests/test_intracom_export.py,18,0.16
src/cadrumo/application/wizard/tests/test_setup_legal_validators.py,18,0.16
src/cadrumo/domain/contribuyente/tests/test_descendant_info.py,18,0.16
src/cadrumo/domain/invoices/tests/test_rate_coverage_versus_legality.py,18,0.16
src/cadrumo/domain/transactions/tests/test_models.py,18,0.16
src/cadrumo/adapters/outbound/llm/tests/test_llm_vision_classifier.py,17,0.15
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_register_roundtrip.py,17,0.15
src/cadrumo/adapters/persistence/profile/tests/test_review_package_recipient_encryption.py,17,0.15
src/cadrumo/application/operations/_supervisor_execution.py,17,0.15
src/cadrumo/domain/deadlines/tests/test_engine.py,17,0.15
dev/registry/tests/test_modelo_303_aic_box_10_base_projection.py,16,0.14
src/cadrumo/adapters/persistence/profile/tests/test_actions_lifecycle_modelo_guards.py,16,0.14
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_lifecycle_gate.py,16,0.14
src/cadrumo/adapters/persistence/profile/tests/test_modelo_100_2025_retenciones_credit_fold_in_live.py,16,0.14
src/cadrumo/application/aggregation/m303_arrivals.py,16,0.14
src/cadrumo/application/aggregation/tests/test_non_arising_category_side_is_refused.py,16,0.14
src/cadrumo/application/aggregation/tests/test_renta_income_aggregation.py,16,0.14
src/cadrumo/application/invoices/tests/test_m349_clave_follows_the_classifier.py,16,0.14
src/cadrumo/application/ledger/tests/test_source_jurisdiction_policy.py,16,0.14
src/cadrumo/domain/categories/tests/test_proportionality.py,16,0.14
dev/registry/tests/test_iva_rate_provider.py,15,0.13
src/cadrumo/adapters/inbound/financial/tests/test_ledger_corpus_fidelity.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_actions_export_guards.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_actions_update_reaffirm.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_attach_purchase_evidence_store.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_borrador_binding.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_blocked_decision_integration.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_m036_lifecycle_read_back.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_merge.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_state_projection.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/test_work_unit_discard_refusal.py,15,0.13
src/cadrumo/adapters/persistence/storage/custody/tests/test_passphrase_rotation.py,15,0.13
src/cadrumo/adapters/persistence/storage/custody/tests/test_recovery_custody.py,15,0.13
src/cadrumo/application/aggregation/tests/test_invoice_declared_category_survives.py,15,0.13
src/cadrumo/application/aggregation/tests/test_renta_gasto_aggregation.py,15,0.13
src/cadrumo/application/ledger/tests/test_filer_establishment_setup_refusal.py,15,0.13
src/cadrumo/application/live/tests/filed_observation_test_support.py,15,0.13
src/cadrumo/application/modelo/tests/test_actions.py,15,0.13
src/cadrumo/domain/invoices/tests/test_catalogue.py,15,0.13
src/cadrumo/domain/invoices/tests/test_invoice_simplificada_eligibility.py,15,0.13
src/cadrumo/domain/iva/tests/test_exemption_article.py,15,0.13
src/cadrumo/entrypoints/cli/tests/test_determinism_conformance.py,15,0.13
src/cadrumo/adapters/persistence/profile/tests/_file_flow_support.py,14,0.12
src/cadrumo/adapters/persistence/profile/tests/test_actions_review_query_imports.py,14,0.12
src/cadrumo/adapters/persistence/profile/tests/test_dormant_ledger_resolvers_fire_live.py,14,0.12
src/cadrumo/adapters/persistence/profile/tests/test_filed_history_discovery.py,14,0.12
src/cadrumo/adapters/persistence/profile/tests/test_modelo_130_carry_forward_continuity.py,14,0.12
src/cadrumo/adapters/persistence/profile/tests/test_modelo_210_inmobiliaria_e2e.py,14,0.12
src/cadrumo/adapters/persistence/profile/tests/test_usage_ratios_censo_refuse_load.py,14,0.12
src/cadrumo/application/aggregation/tests/test_income_withheld_derivation.py,14,0.12
src/cadrumo/application/aggregation/tests/test_modelo_390_rate_box_ledger_reachability.py,14,0.12
src/cadrumo/application/aggregation/tests/test_supplier_side_reverse_charge_reaches_casilla_122.py,14,0.12
src/cadrumo/application/filing/tests/test_export_xml_dictionary_comunidad_blocks.py,14,0.12
src/cadrumo/application/invoices/tests/test_issuer_establishment.py,14,0.12
src/cadrumo/application/ledger/tests/test_country_vocabulary_narrowing.py,14,0.12
src/cadrumo/domain/iva/components.py,14,0.12
src/cadrumo/entrypoints/cli/tests/test_prorrata_register_seed_cli.py,14,0.12
dev/test_runs/command.py,13,0.11
src/cadrumo/adapters/outbound/aeat/sede/tests/test_filed_history_operation.py,13,0.11
src/cadrumo/adapters/persistence/profile/tests/test_file_flow_draft_persistence.py,13,0.11
