owner,member,count
BienInversionDisposalRegime,EXENTA_O_NO_SUJETA,5
ConceptoIngreso,INDEMNIZACION,5
DescendantRelacion,GUARDA_Y_CUSTODIA_JUDICIAL,5
EUMemberState,RO,5
IrpfSpecialRegime,GENERAL,5
IvaComponentPresence,UNKNOWN,5
IvaComponentPresence,ZERO_BY_LAW,5
IvaDeductionFactKind,DOMESTIC_INVESTMENT,5
M303RegimeComposition,MIXED,5
ProportionalityKind,USAGE_RATIO_PERSONAL,5
ProrrataKind,PROVISIONAL,5
SpendingCategory,SUMINISTROS_HOME_OFFICE_AGUA,5
SpendingCategory,TELEFONIA_FIJA,5
TransactionKind,OSS_UNION_GOODS_DISTANCE_SALE,5
Art104TresExclusion,DIRECT_IVA_CUOTAS,4
CustomerTaxStatus,UNKNOWN,4
EUMemberState,GR,4
EntityType,ATTRIBUTION_ENTITY,4
IVARegime,NO_APLICA,4
IVARegime,REAGP,4
InvoiceLegalMention,CASH_ACCOUNTING_REGIME,4
IrpfIncomeCategory,PENSION,4
IvaCategory,INTRA_COMMUNITY_TRIANGULATION,4
IvaCategory,REAGP_COMPENSATION,4
IvaCategory,REGIMEN_SIMPLIFICADO,4
IvaRate,RATE_5,4
IvaRate,RATE_7_5,4
IvaRetencionExpectation,UNKNOWN,4
IvaRetencionRole,TAXPAYER_CREDIT,4
LegalEntityForm,COOPERATIVA,4
OssIossRegime,EXTERNAL_SCHEME,4
ProrrataProvisionalProvenance,INTERRUMPIDA_TRES_ULTIMOS,4
SpendingCategory,ARRENDAMIENTO_LOCAL,4
SpendingCategory,GASTOS_FINANCIEROS,4
SpendingCategory,IBI_VIVIENDA_AFECTO,4
SpendingCategory,PUBLICIDAD_MARKETING,4
SpendingCategory,VEHICULO_COMBUSTIBLE,4
ThirdPartyDeclarationRole,THIRD_PARTY_FEE_COLLECTOR,4
ConceptoIngreso,ORDINARIO,3
EUMemberState,DK,3
EUMemberState,EE,3
EUMemberState,FI,3
EUMemberState,LT,3
ForeignAssetObligationGroup,MONEDAS_VIRTUALES,3
InvoiceLegalMention,REVERSE_CHARGE,3
InvoiceOperationDateRole,ADVANCE_PAYMENT_RECEIVED,3
IrpfActivityKind,SECTORIAL,3
IvaComponentPresence,REQUIRED,3
IvaDeductionEvidenceAuthority,CUSTOMS_DECLARATION,3
IvaDeductionEvidenceAuthority,RECTIFICATION_EVIDENCE,3
IvaDeductionFactKind,RECTIFICATION,3
IvaKindApplicability,ARISES,3
IvaRetencionRole,TAXPAYER_LIABILITY,3
IvaRetencionRole,UNKNOWN,3
M303TaxTerritory,FORAL,3
SectorDiferenciadoLetra,B,3
SituacionFamiliar,PAREJA_HECHO_NO_REGISTRADA,3
SpendingCategory,AMORTIZACION_VIVIENDA_AFECTO,3
SpendingCategory,COMUNIDAD_VIVIENDA_AFECTO,3
SpendingCategory,SUMINISTROS_LOCAL_AFECTO,3
TransactionKind,CONSTRUCTION_REVERSE_CHARGE,3
TransactionKind,ELECTRONICS_REVERSE_CHARGE,3
TransactionKind,EXTERNAL_SCHEME_SERVICES,3
TransactionKind,IMMOVABLE_PROPERTY,3
EUMemberState,IE,2
EUMemberState,NL,2
ForeignAssetObligationGroup,INMUEBLES,2
ForeignAssetObligationGroup,VALORES_DERECHOS_SEGUROS,2
IVARegime,RECARGO_EQUIVALENCIA,2
IvaCuotaSettlement,NONE,2
IvaRetencionExpectation,NOT_EXPECTED,2
IvaRetencionRole,NONE,2
OssIossRegime,IMPORT_SCHEME,2
SectorDiferenciadoLetra,C,2
SituacionFamiliar,CASADO,2
SituacionFamiliar,PAREJA_HECHO_REGISTRADA,2
SituacionFamiliar,SEPARADO_DIVORCIADO,2
TransactionKind,WASTE_REVERSE_CHARGE,2
TravelAgencyMediationType,MEDIATED_SERVICE,2
Art104TresExclusion,FOREIGN_PERMANENT_ESTABLISHMENT,1
Art104TresExclusion,NON_SUBJECT_ART_7,1
CustomerTaxStatus,B2B_NOT_REGISTERED,1
CustomerTaxStatus,PUBLIC_ADMINISTRATION,1
EUMemberState,AT,1
EUMemberState,BE,1
EUMemberState,BG,1
EUMemberState,CY,1
EUMemberState,CZ,1
EUMemberState,HR,1
EUMemberState,HU,1
EUMemberState,LU,1
EUMemberState,LV,1
EUMemberState,MT,1
EUMemberState,PL,1
EUMemberState,PT,1
EUMemberState,SE,1
EUMemberState,SI,1
EUMemberState,SK,1
IrpfActivityKind,PROFESIONAL,1
IvaArt69DosService,ART_69_DOS_C,1
IvaArt69DosService,ART_69_DOS_D,1
IvaCuotaSettlement,REGIMEN_ESPECIAL,1
IvaCuotaSettlement,REPERCUTIDA,1
IvaCuotaSettlement,UNKNOWN,1
IvaDeductionEvidenceAuthority,BIENES_INVERSION_REGISTER,1
IvaDeductionEvidenceAuthority,REAGP_RECEIPT,1
IvaDeductionFactKind,REAGP_COMPENSATION,1
IvaExemptionArticle,ART_20_OTHER,1
IvaExemptionArticle,ART_20_UNO_14,1
IvaRetencionExpectation,POSSIBLE,1
LegalEntityForm,SIN_FINES_LUCRATIVOS,1
ProportionalityKind,NON_DEDUCTIBLE,1
ProportionalityKind,REQUIRES_EXCLUSIVE_USE,1
ProrrataRegime,ESPECIAL,1
RetencionClave,E,1
SituacionFamiliarM145,FAMILIA_1,1
SituacionFamiliarM145,FAMILIA_2,1
SituacionFamiliarM145,FAMILIA_3,1
SpendingCategory,MANUTENCION_DIETAS_EXTRANJERO,1
SpendingCategory,REPARACIONES_CONSERVACION,1
SpendingCategory,TRIBUTOS_FISCALMENTE_DEDUCIBLES,1
ThirdPartyDeclarationRole,PUBLIC_ADMINISTRATION_ENTITY,1
ThirdPartyDeclarationRole,STATUTORY_INFORMATION_DUTY_ENTITY,1
TransactionKind,IOSS_DISTANCE_SALE_LOW_VALUE,1
TransactionKind,OSS_UNION_GOODS_INTERFACE_FACILITATED,1
TravelAgencyMediationType,AIR_PASSENGER_TRANSPORT,1
